qno,Questions,new_paratext
0,What must be taken to make our bones and teeth strong ?,"[' Let us learn more about some of six main nutrients in our food such as carbohydrates, fats, proteins, fibre, vitamins and minerals', ' the body are called minerals', ' Our main need is fulfilled by carbohydrates', ' We get proteins from the sprouts, milk and milk products, meat and eggs in We food', ' Some part of We energy requirement is also fulfilled by fatty foods such as oil, ghee and butter', ' Calcium and phosphorous is a mineral which strengthen bones and teeth', '  Hence, our diet includes a large proportion of cereals in the form of rice, chapatti or roti, bhakri and bread which contain carbohydrates', ' We require vitamins and minerals in small quantities, but vitamins and minerals in small quantities deficiency can lead to various diseases', ' Cereals are our staple food', ' To improve the body resistance to disease and for other life processes the body needs vitamins, minerals and fibre in the diet', ' We need proteins for the purposes of growth, repairing the wear and tear of the body and for other life processes', ' the body needs several inorganic substances']"
1,How many nutrients are mentioned in the paragraph?,"[' Let us learn more about some of six main nutrients in our food such as carbohydrates, fats, proteins, fibre, vitamins and minerals', ' the body are called minerals', ' Our main need is fulfilled by carbohydrates', ' We get proteins from the sprouts, milk and milk products, meat and eggs in We food', ' Some part of We energy requirement is also fulfilled by fatty foods such as oil, ghee and butter', ' Calcium and phosphorous is a mineral which strengthen bones and teeth', ' Hence, our diet includes a large proportion of cereals in the form of rice, chapatti or roti, bhakri and bread which contain carbohydrates', ' We require vitamins and minerals in small quantities, but vitamins and minerals in small quantities deficiency can lead to various diseases', ' Cereals are our staple food', ' To improve the body resistance to disease and for other life processes the body needs vitamins, minerals and fibre in the diet', ' We need proteins for the purposes of growth, repairing the wear and tear of the body and for other life processes', ' the body needs several inorganic substances']"
2,How many nutrients are mentioned in the paragraph?,"[' Let us learn more about some of six main nutrients in our food such as carbohydrates, fats, proteins, fibre, vitamins and minerals', ' the body are called minerals', ' Our main need is fulfilled by carbohydrates', ' We get proteins from the sprouts, milk and milk products, meat and eggs in We food', ' Some part of We energy requirement is also fulfilled by fatty foods such as oil, ghee and butter', ' Calcium and phosphorous is a mineral which strengthen bones and teeth', ' Hence, our diet includes a large proportion of cereals in the form of rice, chapatti or roti, bhakri and bread which contain carbohydrates', ' We require vitamins and minerals in small quantities, but vitamins and minerals in small quantities deficiency can lead to various diseases', ' Cereals are our staple food', ' To improve the body resistance to disease and for other life processes the body needs vitamins, minerals and fibre in the diet', ' We need proteins for the purposes of growth, repairing the wear and tear of the body and for other life processes', ' the body needs several inorganic substances']"
3,which component is increased in pulse to sprout transformation?,"[' Another component is minerals and vitamins', ' We get proteins from the sprouts, milk and milk products, meat and eggs in We food', ' Our main need is fulfilled by carbohydrates', '  Hence, our diet includes a large proportion of cereals in the form of rice, chapatti or roti, bhakri and bread which contain carbohydrates', ' We obtain these nutrients mainly from vegetables and fruits', ' To improve the body resistance to disease and for other life processes the body needs vitamins, minerals and fibre in the diet', 'We need proteins for the purposes of growth, repairing the wear and tear of the body and for other life processes']"
4,What is the main source of energy is ?,"[' Another component is minerals and vitamins', ' We get proteins from the sprouts, milk and milk products, meat and eggs in We food', ' Our main need is fulfilled by carbohydrates', '  Hence, our diet includes a large proportion of cereals in the form of rice, chapatti or roti, bhakri and bread which contain carbohydrates', ' We main need is of energy', ' We obtain these nutrients mainly from vegetables and fruits', ' To improve the body resistance to disease and for other life processes the body needs vitamins, minerals and fibre in the diet', 'We need proteins for the purposes of growth, repairing the wear and tear of the body and for other life processes']"
5,which food items satisfy our need of energy\n,"[' Another component is minerals and vitamins', ' We get proteins from the sprouts, milk and milk products, meat and eggs in We food', ' Our main need is fulfilled by carbohydrates', ' We main need is of energy', ' We obtain these nutrients mainly from vegetables and fruits', ' To improve the body resistance to disease and for other life processes the body needs vitamins, minerals and fibre in the diet', 'We need proteins for the purposes of growth, repairing the wear and tear of the body and for other life processes']"
6,what is the component of our staple food.\n,"['There are six main nutrients in our food such as carbohydrates, fats, proteins, fibre, vitamins and minerals', ' Let us learn more about some of six main nutrients in our food such as carbohydrates, fats, proteins, fibre, vitamins and minerals', ' six main nutrients in our food such as carbohydrates, fats, proteins, fibre, vitamins and minerals are present in the different food items we eat in differing proportions', ' We get proteins from the sprouts, milk and milk products, meat and eggs in We food', ' Our main need is fulfilled by carbohydrates', '  Hence, our diet includes a large proportion of cereals in the form of rice, chapatti or roti, bhakri and bread which contain carbohydrates', ' We need proteins for the purposes of growth, repairing the wear and tear of the body and for other life processes']"
7,Why brinjal turns blakish blue when its cut pieces are exposed to air ?,"[' Cereals like jowar, bajra, wheat, rice contain a lot of starch', ' Sago and sweet potato also contain starch', ' So we can infer that there is starch in the potato', ' We get energy from starchy foods', ' We obtain flour from these grains', 'Starch turns blackish blue when Starch comes in contact with iodine']"
8,which of the following substances are prepared from sugarcane ?\n,"[' Ripe fruits like mango, banana, chickoo as also honey and milk also contain various kinds of sugars', ' The body needs several inorganic substances', ' For example, we can get jaggery and table sugar from sugarcane because table sugar contains a sugar called sucrose', 'Food-stuffs that taste sweet contain different kinds of sugars', ' They, too, give us energy', ' Calcium and phosphorous is a mineral which strengthen bones and teeth', ' us require vitamins and minerals in small quantities, but They deficiency can lead to various diseases', ' The body are called minerals']"
9,Why plant can produce their own food ?,"[' During This process, plants give out oxygen', ' Plants produce food from water, nutrients in the and the carbon dioxide present in the air', ' Plants appear mainly green in colour due to the chlorophyll in Plants', 'Food is necessary for growth', ' This process takes place in the leaves of plants', ' Plants make Plants own food in sunlight', ' This process is brought about in the presence of sunlight, with the help of the chlorophyll in the leaves']"
