No.,qno,Ans1,Ans2,Ans3,Ans4,Correct Ans,Question Type,Question Sentence 
1,1,minerals must be taken to make our bones and teeth strong.,Fats must be taken to make our bones and teeth strong.,proteins must be taken to make our bones and teeth strong.,carbohydrates must be taken to make our bones and teeth strong.,minerals must be taken to make our bones and teeth strong.,what,What must be taken to make our bones and teeth strong ?
2,2,three nutrients are mentioned in the paragraph,four nutrients are mentioned in the paragraph,six nutrients are mentioned in the paragraph,five nutrients are mentioned in the paragraph,six nutrients are mentioned in the paragraph,how,How many nutrients are mentioned in the paragraph?
3,3,3 nutrients are mentioned in the paragraph,4 nutrients are mentioned in the paragraph,6 nutrients are mentioned in the paragraph,5 nutrients are mentioned in the paragraph,6 nutrients are mentioned in the paragraph,how,How many nutrients are mentioned in the paragraph?
4,4,vitamins is increased in pulse to sprout transformation.,minerals is increased in pulse to sprout transformation.,proteins is increased in pulse to sprout transformation.,carbohydrates is increased in pulse to sprout transformation.,proteins is increased in pulse to sprout transformation.,which,which component is increased in pulse to sprout transformation?
5,5,vitamines is the main source of energy.,proteins is the main source of energy.,minerals is the main source of energy.,Carbohydrates is the main source of energy.,Carbohydrates is the main source of energy.,what,What is the main source of energy is ?
6,6,vitamins food items satisfy our need of energy\n,proteins food items satisfy our need of energy\n,minerals food items satisfy our need of energy\n,carbohydrates food items satisfy our need of energy\n,carbohydrates food items satisfy our need of energy\n,which,which food items satisfy our need of energy\n
7,7,vitamins is the component of our staple food\n,proteins is the component of our staple food\n,minerals is the component of our staple food\n,carbohydrates is the component of our staple food\n,carbohydrates is the component of our staple food\n,what,what is the component of our staple food.\n
8,8," brinjal turns blakish blue when its cut pieces are exposed to air, because they are acted by bacteria\n"," brinjal turns blakish blue when its cut pieces are exposed to air, because they dry up due to atmospheric heat\n"," brinjal turns blakish blue when its cut pieces are exposed to air, because they contain starch\n"," brinjal turns blakish blue when its cut pieces are exposed to air, because they turn sour.\n"," brinjal turns blakish blue when its cut pieces are exposed to air, because they contain starch\n",why,Why brinjal turns blakish blue when its cut pieces are exposed to air ?
9,9,paper is prepared from sugarcane\n,jaggery  is prepared from sugarcane\n,benzene  is prepared from sugarcane\n,spices  is prepared from sugarcane\n,jaggery  is prepared from sugarcane\n,which,which of the following substances are prepared from sugarcane ?\n
10,10,plant can produce their own food because they can trap insects.\n,plant can produce their own food because they have chlorophyll.\n,"plant can produce their own food because they have leaves flowers, and roots.\n",plant can produce their own food because they they absorb more water.\n,plant can produce their own food because they have chlorophyll.\n,why,Why plant can produce their own food ?
11,11,food production in plants take place in  root\n,food production in plants take place in  fruit\n,food production in plants take place in  leaf\n,food production in plants take place in  flower\n,food production in plants take place in leaf.\n,where,Where does food production in plants take place ?
12,12,carbon dioxide is used by green plants in photosynthesis.\n,oxygen is used by green plants in photosynthesis.\n,chlorine is used by green plants in photosynthesis.\n,nitrogen is used by green plants in photosynthesis.\n,carbon dioxide is used by green plants in photosynthesis.\n,which,which of the following gases is used by green plants in photosynthesis.\n
13,13,unicellular structure is union of cell\n,unicellular structure is single cell structure\n,unicellular structure is multi cell structure\n,unicellular structure is every organ in the body is made up of single cell\n,unicellular structure is single cell structure\n,what,What is an unicellular structure ?
14,14,amoeba is unicellular\n,cockroach is unicellular\n,mouse is unicellular\n,mayfly is unicellular\n,amoeba is unicellular\n,which,which of the following animals is unicellular\n
15,15,stem is the part of plants store waste substances\n,leaves is the part of plants store waste substances\n,root is the part of plants store waste substances\n,flower is the part of plants store waste substances\n,leaves is the part of plants store waste substances\n,which,which part of plants store waste substances\n
16,16,ability to produce young ones similar to parent is called regeneration\n,ability to produce young ones similar to parent is called reproduction\n,ability to produce young ones similar to parent is called surviving\n,ability to produce young ones similar to parent is called keeping food chain in order\n,ability to produce young ones similar to parent is called reproduction.\n,what,What is named for the ability to produce new living thing similar to parent ?
17,17,life span of the animal such as dog is 12-18 years\n,life span of the animal such as dog is 2-6 years\n,life span of the animal such as dog is 1-3 years\n,life span of the animal such as dog is 3-5 years\n,life span of the animal such as dog is 12-18 years.\n,what,What is the life span of dog ?
18,18,vertebrate animals are fish\n,vertebrate animals are earthworm\n,vertebrate animals are butterfly\n,vertebrate animals are cockroach\n,vertebrate animals are fish.\n,which,Which is the vertebrate animals ?
19,19,oviparous animals lay eggs\n,oviparous animals give birth to young ones\n,oviparous animals lay eggs and give birth to young ones\n,oviparous animals live longer\n,oviparous animals lay eggs.\n,what,What is the property of oviparous animals\n
20,20,sparrow is an invertebrate animal \n,cockroach is an invertebrate animal \n,snake is an invertebrate animal \n,cobra is an invertebrate animal\n,cockroach is an invertebrate animal\n,which,which of the following is an invertebrate animal \n
21,21,shrubs has strong and hard stem\n,shrubs has weak stem \n,shrubs has soft and flexible\n,shrubs has no stem\n,shrubs has strong and hard stem\n,what,What is the property of shrubs ?
22,22,tree has thick and hard stem\n,herbs has thick and hard stem\n,shrubs has thick and hard stem\n,climbers has thick and hard stem\n,shrubs has thick and hard stem\n,which,which plants has thick and hard stem?\n
23,23,biennieal plants live for 2 years\n,biennieal plants live for 1 year\n,biennieal plants live for several years\n,"biennieal plants live for 2 year , flower sometimes\n",biennieal plants live for 2 years\n,what,What is the characteristics of biennieal plants ?\n
24,24,"classification of plants like herbs, shrubs, creeper and climber based on flowering and nonflowering\n","classification of plants like herbs, shrubs, creeper and climber based on height of stem\n","classification of plants like herbs, shrubs, creeper and climber based on lifecycle of plant\n","classification of plants like herbs, shrubs, creeper and climber based on fruit bearing plants\n","classification of plants like herbs, shrubs, creeper and climber based on height of stem\n",what,"What is the criteria for classification of plants like herbs, shrubs, creeper and climber ?\n"
25,25,coconut fruit is dispersed by air\n,coconut fruit is dispersed by water\n,coconut fruit is dispersed by animal\n,coconut fruit is dispersed by autochory\n,coconut fruit is dispersed by water\n,how,How coconut fruit is dispersed ?\n
26,26,seeds of dandelion are dispersed through water\n,seeds of dandelion are dispersed through wind\n,seeds of dandelion are dispersed through gravity\n,seeds of dandelion are dispersed through insects \n,seeds of dandelion are dispersed through wind\n,how,How the seeds of dandelion are dispersed?\n
27,27,protein help us in formation of stool\n,fibre   help us in formation of stool\n,vitamin  help us in formation of stool\n,fats  help us in formation of stool\n,fibre  help us in formation of stool\n,which,which food help us in formation of stool\n
28,28,protein food component works in the process of digestion\n,vitamin food component works in the process of digestion\n,fibre food component works in the process of digestion\n,mineral food component works in the process of digestion\n,fibre food component works in the process of digestion\n,which,which food component works in the process of digestion ?\n
29,29,proteins acts as  building blocks of body\n,carbohydrates acts as  building blocks of body\n,fats acts as  building blocks of body\n,minerals acts as  building blocks of body\n,proteins acts as  building blocks of body\n,which,which food acts as  building blocks of body\n
